"Jahr"	"Schweiz"	"Ausland"	"Total"
"2010"	7.3	11.1	8.7
"2011"	7.1	11.9	8.9
"2012"	7.2	12.2	9.1
"2013"	7.2	13.4	9.5
"2014"	7.1	13.3	9.5
"2015"	6.9	13.0	9.2
"2016"	6.8	13.5	9.5
"2017"	6.9	13.9	9.7
"2018"	7.0	13.6	9.6
"2019"	7.1	14.3	10.0
"2020"	6.5	13.4	9.2
"2021"	6.4	12.1	8.7

