"NA"	"Medianlohn"
"Grenzgänger (G)"	6655
"Schweizer"	6644
"Total"	6498
"Niedergelassene (C)"	6075
"Aufenthalter (B)"	6016
"Kurzaufenthalter (L)"	5582

