Jahr	Index mittlere Prämie	Index mittlere Prämie, geschätzt	Index Median Einkommen
2010	100.0		100.0
2011	106.3		100.6
2012	108.8		100.7
2013	108.9		101.5
2014	109.9		102.0
2015	113.9		102.2
2016	116.7		102.6
2017	121.4		103.1
2018	126.3		103.3
2019	126.4		103.8
2020	126.0		104.4
2021	126.6		105.9
2022	124.0		
2023	128.1	128.1	
2024		136.1	
2025		138.1	
