JAHR	Messe	Erlenmatt
2009	20	2
2010	25	1
2011	35	7
2012	35	6
2013	30	1
2014	35	0
2015	33	11
2016	46	5
2017	52	13
2018	34	13
2019	24	39
2020	38	38
2021	55	22
2022	40	21
