Aggloteile2	Erwerbstätigen	Erwerbslosen
Basel: Agglomeration	417959.43373	23870.717704
Basel: Kernstadt	84939.525977	5968.3773011
Basel: Übrige Agglomerationsgemeinden Schweiz	183818.90775	8431.3404026
Basel: Agglomerationsgemeinden Deutschland	104140	3840
Basel: Agglomerationsgemeinden Frankreich	45061	5631
......		
Bern: Agglomeration	221829.32103	8522.0188316
Bern: Kernstadt	74606.885701	3389.2629754
Bern: Übrige Agglomerationsgemeinden Schweiz	147222.43533	5132.7558562
.........		
Genf: Agglomeration	417202.12287	49568.791998
Genf: Kernstadt	85321.935182	11778.607804
Genf: Übrige Agglomerationsgemeinden Schweiz	169984.18768	18130.184194
Genf: Agglomerationsgemeinden Frankreich	161896	19660
.............		
Lausanne: Agglomeration	213640.0287	17125.518219
Lausanne: Kernstadt	68330.202534	7136.0461961
Lausanne: Übrige Agglomerationsgemeinden Schweiz	145309.82617	9989.4720229
................		
Zürich: Agglomeration	760351.89133	36265.953604
Zürich: Kernstadt	237616.16024	11981.721565
Zürich: Übrige Agglomerationsgemeinden Schweiz	522735.73109	24284.232039
