wohnviertel_id	Jugendquotient	Rang	Wohnviertel	jahr_num
1	0.1490084986	1	Altstadt Grossbasel	2019
12	0.1544424568	2	Altstadt Kleinbasel	2019
2	0.1661576054	3	Vorstädte	2019
13	0.2010562052	4	Clara	2019
6	0.2040816327	5	Gundeldingen	2019
14	0.2107133096	6	Wettstein	2019
17	0.2115173675	7	Matthäus	2019
4	0.217735006	8	Breite	2019
3	0.2265439844	9	Am Ring	2019
9	0.2541905855	10	Gotthelf	2019
11	0.2542359271	11	St. Johann	2019
10	0.2609666756	12	Iselin	2019
16	0.2619919443	13	Rosental	2019
18	0.280817675	14	Klybeck	2019
8	0.2951296341	15	Bachletten	2019
5	0.3023012552	16	St. Alban	2019
19	0.3171577123	17	Kleinhüningen	2019
30	0.3478915663	18	Bettingen	2019
15	0.3600152468	19	Hirzbrunnen	2019
20	0.3766110198	20	Riehen	2019
7	0.4004638578	21	Bruderholz	2019
