"schuljahr"	"Schweiz"	"Ausland"	"Total"
2014	15.63	4.55	9.21
2015	23.08	11.90	17.28
2016	22.50	27.27	25.00
2017	26.47	32.69	30.23
2018	25.00	18.87	21.65
2019	21.57	16.98	19.23
2020	16.67	29.79	23.16
2021	25.00	33.33	29.51
2022	21.15	34.18	29.01
2023	27.59	30.51	29.06

