"Jahr"	"BS"	"BL"	"AG"	"ZH"	"CH"
2015	0.039	0.036	-0.005	0.024	0.016
2016	0.087	0.010	0.015	0.017	0.021
2017	0.057	0.009	0.014	0.024	0.014
2018	0.026	-0.005	0.014	0.043	0.029
2019	0.029	-0.002	0.012	-0.006	0.011
2020	-0.008	-0.018	-0.012	-0.022	-0.021
2021	0.066	0.021	-0.004	0.014	0.056
2022	0.016	0.008	0.016	0.038	0.030
2023	0.018	0.015	0.009	-0.004	0.007
2024	0.054	0.015	0.010	0.011	0.014

