"schuljahr"	"Messe"	"Erlenmatt"	"Stadt Basel"
"2014"	16.320474777	7.6923076923	45.680559908
"2015"	15.634218289	15.217391304	45.591202583
"2016"	18.67816092	18.333333333	46.125607699
"2017"	18.338108883	22.680412371	46.255080317
"2018"	19.590643275	32.653061224	46.232779097
"2019"	18.770226537	31.067961165	46.569220743
"2020"	19.93006993	33.870967742	47.447199265
"2021"	23.263888889	35.094339623	47.24537876

