"Alter"	"Männer"	"Frauen"
"15-19"	2.6	2.6
"20-24"	3.4	1.9
"25-29"	2.7	2.0
"30-34"	2.6	2.8
"35-39"	2.6	1.8
"40-44"	2.5	2.4
"45-49"	2.1	1.5
"50-54"	1.9	1.6
"55-59"	2.1	2.1
"60-64"	3.6	2.4

