"Jahr"	"Index"
1995	97.2
1996	99.0
1997	98.8
1998	99.0
1999	99.5
2000	101.2
2001	102.9
2002	103.8
2003	104.3
2004	105.3
2005	106.3
2006	107.6
2007	110.1
2008	112.6
2009	114.7
2010	115.8
2011	117.0
2012	117.5
2013	118.8
2014	119.5
2015	120.9
2016	122.8
2017	124.3
2018	125.7
2019	127.4
2020	128.8
2021	129.8
2022	131.4
2023	134.1
2024	138.2
