"CityDescr"	"Kernstadt"	"Übrige Agglomerationsgemeinden Schweiz"	"Agglomerationsgemeinden Deutschland"	"Agglomerationsgemeinden Frankreich"
Basel	173552	388431	218830	101592
Bern	134506	298632		
Genf	203840	402939		398907
Lausanne	141418	301868		
Zürich	427721	1023003		
