Jahr	Büros zu Wohnungen	(Dachstock-) Ausbauten	Saldo aus Zusammenlegungen/ Aufteilungen	Sonstige Umnutzungen	Zweckentfremdungen von Wohnungen	Umbausaldo
2008	0	0	0	0	0	0
2009	0	0	-3	0	-1	-4
2010	0	1	0	0	0	1
2011	0	1	0	0	-1	0
2012	0	8	0	0	0	8
2013	0	0	0	1	0	1
2014	0	3	0	0	0	3
2015	0	2	0	0	0	2
2016	0	0	0	0	0	0
2017	0	2	0	0	0	2
2018	0	0	7	0	-2	5
2019	0	1	0	0	-0	1
2020	0	2	0	0	-0	2
2021	0	0	0	2	-0	2
2022	0	0	0	1	-0	1
2023	0	2	0	0	-0	2
