Land	Anteil
Schweiz	0.412441098234042
Deutschland	0.138280710195241
Vereinigte Staaten	0.090307714892011
Vereinigtes Königreich	0.051398539858751
Frankreich	0.038262033791226
Italien	0.029650136383864
Niederlande	0.029578658788247
Spanien	0.022865913410657
Indien	0.00924452716033
China, Hongkong, Taiwan	0.005390025570533
Übrige Länder	0.172600716159393
