wohnviertel_id	Anteil Einfamilienhäuser	Rang	Wohnviertel	jahr_num
13	0.0198412698410	1	Clara	2024
6	0.0278551532030	2	Gundeldingen	2024
16	0.0626959247640	3	Rosental	2024
18	0.0684931506840	4	Klybeck	2024
17	0.0699481865280	5	Matthäus	2024
2	0.0732600732600	6	Vorstädte	2024
12	0.0965517241370	7	Altstadt Kleinbasel	2024
1	0.0990291262130	8	Altstadt Grossbasel	2024
4	0.1295180722890	9	Breite	2024
19	0.1538461538460	10	Kleinhüningen	2024
10	0.1652949245540	11	Iselin	2024
3	0.1926298157450	12	Am Ring	2024
11	0.2439817826930	13	St. Johann	2024
14	0.3328631875880	14	Wettstein	2024
5	0.3336092715230	15	St. Alban	2024
9	0.3633572159670	16	Gotthelf	2024
8	0.5572397287590	17	Bachletten	2024
20	0.6552853133760	18	Riehen	2024
15	0.6932746700180	19	Hirzbrunnen	2024
7	0.7214590241590	20	Bruderholz	2024
30	0.7746913580240	21	Bettingen	2024
