"Jahr"	"Effektiv"	"Hohes Szenario"	"Mittleres Szenario"	"Tiefes Szenario"
"1985"	0.2558	""	""	""
"1986"	0.2505	""	""	""
"1987"	0.2475	""	""	""
"1988"	0.2470	""	""	""
"1989"	0.2468	""	""	""
"1990"	0.2481	""	""	""
"1991"	0.2543	""	""	""
"1992"	0.2582	""	""	""
"1993"	0.2641	""	""	""
"1994"	0.2680	""	""	""
"1995"	0.2711	""	""	""
"1996"	0.2746	""	""	""
"1997"	0.2775	""	""	""
"1998"	0.2796	""	""	""
"1999"	0.2815	""	""	""
"2000"	0.2784	""	""	""
"2001"	0.2781	""	""	""
"2002"	0.2755	""	""	""
"2003"	0.2738	""	""	""
"2004"	0.2688	""	""	""
"2005"	0.2668	""	""	""
"2006"	0.2636	""	""	""
"2007"	0.2603	""	""	""
"2008"	0.2590	""	""	""
"2009"	0.2565	""	""	""
"2010"	0.2571	""	""	""
"2011"	0.2553	""	""	""
"2012"	0.2557	""	""	""
"2013"	0.2553	""	""	""
"2014"	0.2555	""	""	""
"2015"	0.2584	""	""	""
"2016"	0.2599	""	""	""
"2017"	0.2625	""	""	""
"2018"	0.2650	""	""	""
"2019"	0.2640	""	""	""
"2020"	0.2645	""	""	""
"2021"	""	0.2682	0.2685	0.2689
"2022"	""	0.2709	0.2713	0.2719
"2023"	""	0.2733	0.2737	0.2744
"2024"	""	0.2751	0.2754	0.2759
"2025"	""	0.2769	0.2770	0.2773
"2026"	""	0.2787	0.2784	0.2783
"2027"	""	0.2803	0.2795	0.2790
"2028"	""	0.2819	0.2806	0.2794
"2029"	""	0.2837	0.2816	0.2797
"2030"	""	0.2849	0.2820	0.2791
"2031"	""	0.2868	0.2828	0.2788
"2032"	""	0.2878	0.2827	0.2774
"2033"	""	0.2897	0.2834	0.2767
"2034"	""	0.2911	0.2835	0.2754
"2035"	""	0.2922	0.2832	0.2736
"2036"	""	0.2933	0.2830	0.2719
"2037"	""	0.2942	0.2826	0.2699
"2038"	""	0.2956	0.2827	0.2687
"2039"	""	0.2972	0.2831	0.2676
"2040"	""	0.2987	0.2835	0.2667
"2041"	""	0.2996	0.2833	0.2654
"2042"	""	0.3003	0.2830	0.2642
"2043"	""	0.3008	0.2827	0.2631
"2044"	""	0.3013	0.2824	0.2622
"2045"	""	0.3018	0.2823	0.2615

