	Basel-Stadt	Basel-Landschaft	Jura	BS/BL/JU	Schweiz
2016	25931	565	1063	27559	36931
2017	27001	511	1194	28707	34809
2018	26470	111	1123	27704	31375
2019	29414	680	1142	31236	37194
2020	35109	-497	995	35607	42979
2021	42109	-691	1355	42773	58461
2022	40076	-1940	1679	39816	42847
