	1 bis 7 Nächte	8 bis 14 Nächte	15 bis 30 Nächte	31 bis 60 Nächte	61 bis 150 Nächte	>150 Nächte
2014: M (N=378)	179	41	56	25	37	40
2014: F (N=76)	42	8	3	7	8	8
.						
2015: M (N=342)	189	18	40	26	35	34
2015: F (N=75)	38	8	9	6	6	8
..						
2016: M (N=392)	221	44	37	29	34	27
2016: F (N=74)	42	7	11	4	5	5
...						
2017: M (N=348)	186	34	34	35	30	29
2017: F (N=67)	33	5	12	5	6	6
....						
2018: M (N=339)	188	29	33	32	35	22
2018: F (N=68)	34	3	8	9	6	8
.....
2019: M (N=323)	157	31	36	28	50	21
2019: F (N=94)	59	3	6	7	9	10

