Jahr	Stadt Basel	Gemeinden Riehen/Bettingen	Ausserkantonal	Total
2019	24075	6909	1853	32837
2020	19115	4413	1176	24704
2021	19381	5898	1278	26557
2022	19566	4914	1099	25579
2023	20975	5479	996	27450
2024	23785	6407	1036	31228
