""	"Mittlere jährliche Arbeitslosenquote"	"Monatliche Anzahl Arbeitslose (rechte Skala)"
"2012-01"	0.043854	62
"2012-02"	0.043854	64
"2012-03"	0.043854	70
"2012-04"	0.043854	73
"2012-05"	0.043854	78
"2012-06"	0.043854	70
"2012-07"	0.043854	74
"2012-08"	0.043854	74
"2012-09"	0.043854	78
"2012-10"	0.043854	82
"2012-11"	0.043854	87
"2012-12"	0.043854	88
"2013-01"	0.053160	87
"2013-02"	0.053160	88
"2013-03"	0.053160	90
"2013-04"	0.053160	94
"2013-05"	0.053160	89
"2013-06"	0.053160	91
"2013-07"	0.053160	86
"2013-08"	0.053160	85
"2013-09"	0.053160	93
"2013-10"	0.053160	89
"2013-11"	0.053160	96
"2013-12"	0.053160	103
"2014-01"	0.047801	99
"2014-02"	0.047801	88
"2014-03"	0.047801	86
"2014-04"	0.047801	93
"2014-05"	0.047801	83
"2014-06"	0.047801	79
"2014-07"	0.047801	80
"2014-08"	0.047801	72
"2014-09"	0.047801	73
"2014-10"	0.047801	76
"2014-11"	0.047801	72
"2014-12"	0.047801	80
"2015-01"	0.045072	82
"2015-02"	0.045072	79
"2015-03"	0.045072	79
"2015-04"	0.045072	79
"2015-05"	0.045072	83
"2015-06"	0.045072	84
"2015-07"	0.045072	72
"2015-08"	0.045072	74
"2015-09"	0.045072	72
"2015-10"	0.045072	70
"2015-11"	0.045072	76
"2015-12"	0.045072	75
"2016-01"	0.046339	79
"2016-02"	0.046339	80
"2016-03"	0.046339	76
"2016-04"	0.046339	77
"2016-05"	0.046339	74
"2016-06"	0.046339	75
"2016-07"	0.046339	73
"2016-08"	0.046339	83
"2016-09"	0.046339	80
"2016-10"	0.046339	85
"2016-11"	0.046339	82
"2016-12"	0.046339	87
"2017-01"	0.049116	85
"2017-02"	0.049116	88
"2017-03"	0.049116	96
"2017-04"	0.049116	102
"2017-05"	0.049116	97
"2017-06"	0.049116	89
"2017-07"	0.049116	80
"2017-08"	0.049116	75
"2017-09"	0.049116	77
"2017-10"	0.049116	76
"2017-11"	0.049116	69
"2017-12"	0.049116	74
"2018-01"	0.040394	74
"2018-02"	0.040394	67
"2018-03"	0.040394	61
"2018-04"	0.040394	62
"2018-05"	0.040394	67
"2018-06"	0.040394	60
"2018-07"	0.040394	66
"2018-08"	0.040394	68
"2018-09"	0.040394	75
"2018-10"	0.040394	77
"2018-11"	0.040394	77
"2018-12"	0.040394	75
"2019-01"	0.036009	67
"2019-02"	0.036009	64
"2019-03"	0.036009	57
"2019-04"	0.036009	67
"2019-05"	0.036009	66
"2019-06"	0.036009	59
"2019-07"	0.036009	63
"2019-08"	0.036009	63
"2019-09"	0.036009	57
"2019-10"	0.036009	59
"2019-11"	0.036009	56
"2019-12"	0.036009	61
"2020-01"	0.043513	64
"2020-02"	0.043513	53
"2020-03"	0.043513	67
"2020-04"	0.043513	75
"2020-05"	0.043513	76
"2020-06"	0.043513	84
"2020-07"	0.043513	80
"2020-08"	0.043513	75
"2020-09"	0.043513	69
"2020-10"	0.043513	80
"2020-11"	0.043513	79
"2020-12"	0.043513	91
"2021-01"	0.047849	97
"2021-02"	0.047849	94
"2021-03"	0.047849	94
"2021-04"	0.047849	101
"2021-05"	0.047849	89
"2021-06"	0.047849	86
"2021-07"	0.047849	81
"2021-08"	0.047849	75
"2021-09"	0.047849	65
"2021-10"	0.047849	65
"2021-11"	0.047849	68
"2021-12"	0.047849	67

