	Fussgängerzonen	Begegnungszonen
2010		7.7
2011		8.7
2012		10.9
2013		11.8
2014		15.5
2015	4.4	18.3
2016	4.4	19.9
2017	4.4	20.3
2018	4.4	20.9
2019	4.4	21.3
2020	4.7	21.8
2021	4.7	22.8
2022	4.7	22.9
2023	4.8	23.5
