jahr	Feinstaub (PM10)	Langzeitgrenzwert NO<sub>2</sub>	Langzeitgrenzwert PM10	Stickstoffdioxid (NO<sub>2</sub>)	Feinstaub (PM2,5)	Langzeitgrenzwert PM2,5
1991		30		52.78		
1992		30		49.89		
1993		30		47.23		
1994		30		42.72		
1995		30		40.23		
1996		30		43.13		
1997	28.60	30	20	41.19		
1998	24.30	30	20	36.02		
1999	20.70	30	20	36.04		
2000	20.80	30	20	33.79		
2001	20.10	30	20	32.99		
2002	21.80	30	20	32.67		
2003	24.73	30	20	34.8		
2004	18.97	30	20	33.33		
2005	21.23	30	20	32.65		
2006	23.70	30	20	33.84		
2007	22.50	30	20	31.48		
2008	20.70	30	20	32.37		
2009	22.00	30	20	32.73		
2010	21.40	30	20	32.44		
2011	22.27	30	20	33.23		
2012	19.14	30	20	31.81		
2013	19.09	30	20	30.98		
2014	16.87	30	20	31.88		
2015	18.30	30	20	31.47		
2016	16.10	30	20	27.82		
2017	16.22	30	20	27.71		
2018	17.80	30	20	26.92	13.6	10
2019	15.24	30	20	25.82	10.7	10
2020	15.12	30	20	21.32	10.16	10
2021	15.80	30	20	21.9	10.91	10
2022	17.00	30	20	21.6	11.7	10
2023	13.85	30	20	18.93	9.5	10
2024	12.50	30	20	17.4	8.8	10
