"Alter"	"Weggezogene"	"Zugezogene"	"Saldo"
"0-4"	3975	4113	138
"5-9"	2422	2741	319
"10-14"	1341	1989	648
"15-19"	1408	2564	1156
"20-24"	6583	10846	4263
"25-29"	13841	20711	6870
"30-34"	14217	17009	2792
"35-39"	10653	11334	681
"40-44"	6938	7579	641
"45-49"	4913	5485	572
"50-54"	3291	3458	167
"55-59"	2030	1803	-227
"60-64"	1428	771	-657
"65-69"	929	278	-651
"70-74"	366	145	-221
"75-79"	183	95	-88
"80-84"	104	45	-59
"85-89"	61	30	-31
"90-94"	23	6	-17
"95-99"	2	2	0
">99"	"."	1	"."

