Staatsangehörigkeit	FlächeproPerson
Schweiz	45.33018081
Deutschland	43.1440069
Italien	35.53107107
Türkei	25.18731873
EU-17 + EFTA	36.27620034
EU-Ost	32.11055899
Balkan	23.67234704
Mittel- und Südamerika	31.71076327
Arabische Länder	24.49706392
Afrikanische Länder	24.87899228
Übrige Länder	32.80828855
