Jahr	Weiss nicht / Keine Angabe	Unzufrieden	Eher unzufrieden	Eher zufrieden	Sehr zufrieden	Total
2015	82	20	156	885	315	1458
2011	64	33	164	751	465	1477
2005	73	55	245	831	276	1480
2007	86	31	185	971	211	1484
2003	76	39	214	842	301	1472
