"Staatsangehörigkeit"	"PersonenproWohnung"
"Schweiz"	1.88
"Deutschland"	1.82
"Italien"	1.99
"Türkei"	2.68
"EU-17 + EFTA"	2.09
"EU-Ost"	2.05
"Balkan"	2.80
"Mittel- und Südamerika"	2.19
"Arabische Länder"	2.61
"Afrikanische Länder"	2.43
"Übrige Länder"	2.41

