"WohnviertelId"	"Wohnviertel_Name"	"Ausländeranteil 2017 in %"	"Zunahme seit 1997 in Prozentpunkten"
1	"Altstadt GB"	28.417	13.208
2	"Vorstädte"	38.405	17.080
3	"Am Ring"	36.198	14.336
4	"Breite"	32.862	11.400
5	"St. Alban"	33.106	17.219
6	"Gundeldingen"	39.301	2.082
7	"Bruderholz"	23.981	13.402
8	"Bachletten"	21.425	9.765
9	"Gotthelf"	27.530	9.895
10	"Iselin"	37.913	11.947
11	"St. Johann"	43.009	2.357
12	"Altstadt KB"	37.175	12.589
13	"Clara"	46.743	5.540
14	"Wettstein"	31.139	12.053
15	"Hirzbrunnen"	24.946	9.064
16	"Rosental"	55.778	7.992
17	"Matthäus"	50.570	0.694
18	"Klybeck"	52.350	6.439
19	"Kleinhüningen"	47.433	8.287
20	"Riehen"	26.097	14.101
30	"Bettingen"	24.181	9.747

