"Staatsangehörigkeit"	"Basel-Stadt"	"Schweiz"
"Deutschland"	5.3	7.3
"Italien"	14.7	23.1
"Türkei"	16.4	20.2
"EU-17 + EFTA"	5.2	6.6
"EU-Ost"	3.3	4.2
"Balkan"	16.0	18.7
"Mittel- und Südamerika"	6.0	7.8
"Arabische Länder"	3.9	9.1
"Afrikanische Länder"	6.1	8.8
"Übrige Länder"	4.2	5.5

