Kategorien	 Stimmt genau	 Stimmt eher	 Stimmt eher nicht	 Stimmt gar nicht	 Weiss nicht	 Keine Angabe	 Anzahl
2009 Total	251	1003	669	247	730	219	3119
2009 Kein Deutsch	61	143	54	26	129	54	467
2009 Deutsch und weitere	104	327	199	61	230	64	985
2009 Nur Deutsch	86	533	416	160	371	101	1667
.							
2013 Total	239	661	449	129	613	121	2212
2013 Kein Deutsch	59	99	40	13	90	28	329
2013 Deutsch und weitere	99	215	118	27	190	44	693
2013 Nur Deutsch	81	347	291	89	333	49	1190
