"Alter"	"Männer"	"Frauen"
"0-4"	9.29	9.45
"5-9"	9.42	8.00
"10-14"	7.56	7.58
"15-19"	6.83	7.18
"20-24"	7.99	6.20
"25-29"	6.85	5.89
"30-34"	7.13	6.31
"35-39"	6.68	5.41
"40-44"	8.07	6.60
"45-49"	7.97	5.20
"50-54"	7.53	4.77
"55-59"	6.64	4.57
"60-64"	4.32	2.03
"65 u.m."	0.11	0.14

