"Herkunft"	"Deutsch oder Schweizerdeutsch"	"Kein Deutsch"
"Schweizer/-innen seit Geburt"	76644.742012	1438.662204
"Eingebürgerte Schweizer/-innen"	21665.269205	5418.678448
"Ausländer/-innen"	27836.576948	27026.602774

