Berufsgruppe	 Schweiz	 Ausland
Bau- und Ausbaugewerbe	18.3	81.7
Gastgewerbe, pers. DL	31.3	68.7
Technische Berufe, Informatik	42.4	57.6
Industrie und Gewerbe	45.5	54.5
Land- und Forstwirtschaft	49.3	50.7
Handels- und Verkehrsberufe	54.7	45.3
Gesundheit, Lehre, Kultur	58.9	41.1
Banken, Versicherungen o.ä.	59.8	40.2
