"Alter"	"Männer"	"Frauen"
"15-19"	3.8	4.6
"20-24"	7.0	9.4
"25-29"	5.0	8.3
"30-34"	6.7	10.7
"35-39"	7.6	10.1
"40-44"	6.5	7.1
"45-49"	6.5	6.4
"50-54"	4.8	5.5
"55-59"	5.0	6.7
"60-64"	8.2	5.3

