"Herkunft"	"Deutsch oder Schweizerdeutsch"	"Kein Deutsch"
"Schweizer/-innen seit Geburt"	42544.826280	387.084960
"Eingebürgerte Schweizer/-innen"	14157.812146	332.466876
"Ausländer/-innen"	29279.119972	6773.284329

