Kaderstufe	 Schweiz	 Deutschland	 Italien	 Türkei	 EU-17 & EFTA	 EU-Ost	 Balkan	 Mittel- & Südamerika	 Arab. Länder	 Afrikan. Länder	 Übrige Länder
Oberes Kader	175	8	0	0	1	0	0	0	0	0	0
Mittleres Kader	391	34	1	0	5	0	0	1	0	0	0
Mittleres Fachkader	209	21	1	0	5	0	0	0	0	1	0
Unteres Kader	569	74	7	1	6	1	1	1	0	0	0
Unteres Fachkader	136	12	1	0	1	0	1	1	0	0	0
