"Land 2017"	"Anzahl"
"Deutschland"	16189
"Italien"	8509
"Türkei"	6293
"EU-17 + EFTA"	15433
"EU-Ost"	3942
"Balkan"	8181
"Mittel- und Südamerika"	1689
"Arabische Länder"	1520
"Afrikanische Länder"	1750
"Übrige Länder"	8104

