"Alter"	"Männer"	"Frauen"
"0-4"	1.76	1.66
"5-9"	1.84	1.82
"10-14"	1.80	1.83
"15-19"	1.91	1.88
"20-24"	2.51	2.56
"25-29"	3.19	3.13
"30-34"	3.69	3.73
"35-39"	3.56	3.74
"40-44"	3.22	3.53
"45-49"	3.11	3.54
"50-54"	3.12	3.62
"55-59"	2.91	3.58
"60-64"	2.66	3.51
"65-69"	2.69	3.84
"70-74"	2.50	3.92
"75-79"	2.04	3.47
"80-84"	1.24	2.55
"85-89"	0.80	2.11
"90-94"	0.25	0.94
"95 u.m."	0.03	0.21

