Jahr	Schweizer	Ausländer
1997	142279	51974
1998	140223	51898
1999	137808	52333
2000	135650	52429
2001	134825	52634
2002	133730	54285
2003	132756	55457
2004	131998	56479
2005	130726	57194
2006	129216	58576
2007	129082	58918
2008	129226	60330
2009	128639	62176
2010	128427	63179
2011	127874	64430
2012	127932	65527
2013	127907	67552
2014	127692	68779
2015	127617	69587
2016	127398	70808
2017	127378	71610
