Alter	Schweizer	Schweizerinnen	Ausländer	Ausländerinnen
18-24 Jahre	29.5	5.5	62.1	13.9
25-34 Jahre	16.6	7.9	26.7	7.6
35-44 Jahre	21.1	5.8	23.4	8.8
45-59 Jahre	14.7	5.8	14.3	7.4
60 Jahre u.m.	5.2	1.7	9.4	3.6
