"Alter"	"Deutsch oder Schweizerdeutsch"	"Kein Deutsch"
"65 u.m. Jahre"	1941.774532	2959.425468
"40-64 Jahre"	10495.361701	11996.791631
"25-39 Jahre"	11750.934725	10554.111943
"15-24 Jahre"	3671.636856	1522.963144

