"Staatsangehörigkeit"	"Median 2006"	"Median 2015"
"Schweiz"	48972	48429
"Deutschland"	64369	71043
"Italien"	46458	46799
"Türkei"	37714	30754
"EU-17 + EFTA"	54774	65555
"EU-Ost"	32395	49979
"Balkan"	43854	40684
"Mittel- und Südamerika"	32450	36317
"Arabische Länder"	33799	23460
"Afrikanische Länder"	33480	21599
"Übrige Länder"	43152	67497

