"Staatsangehörigkeit"	"Ausgestellte Gutscheine"	"Eingelöste Gutscheine"
"Italien"	419	198
"Türkei"	107	68
"EU-17 und EFTA"	805	394
"EU-Ost"	478	190
"Balkan"	156	97
"Mittel- und Südamerika"	149	99
"Arabische Länder"	65	47
"Afrikanische Länder"	73	41
"Übrige Länder"	818	298

