Jahr	Sehr zufrieden	Eher zufrieden	Eher unzufrieden	Sehr unzufrieden	Weiss nicht / Keine Angabe	Total
2015 Total	650	693	69	6	77	1495
2015 Schweiz	591	596	58	6	73	1495
2015 Ausland	59	97	11	0	4	1495
. 						
2011 Total	737	625	93	9	45	1509
2011 Schweiz	635	536	78	7	39	1509
2011 Ausland	102	89	15	2	6	1509
..						
2007 Total	493	808	126	10	62	1499
2007 Schweiz	444	711	105	8	55	1499
2007 Ausland	49	97	21	2	7	1499
...						
2005 Total	518	781	120	24	61	1504
2005 Schweiz	455	670	102	17	51	1504
2005 Ausland	63	111	18	7	10	1504
....						
2003 Total	587	690	116	15	80	1488
2003 Schweiz	507	597	102	13	65	1488
2003 Ausland	80	93	14	2	15	1488
