"Staatsangehörigkeit"	"Mittelwert 2006"	"Mittelwert 2015"
"Schweiz"	64070	64794
"Deutschland"	81855	97619
"Italien"	51051	58363
"Türkei"	38886	35921
"EU-17 + EFTA"	75251	103026
"EU-Ost"	45356	76550
"Balkan"	45213	44092
"Mittel- und Südamerika"	44193	52206
"Arabische Länder"	38230	37158
"Afrikanische Länder"	39077	32552
"Übrige Länder"	80841	128979

