"Kaderstufe"	"Schweiz"	"Schweizer"	"Schweizerinnen"	"Ausland"	"Ausländer"	"Ausländerinnen"	"Total"
"Ohne Kaderfunktion"	3842	1444	2398	683	268	415	4525
"Unteres Fachkader"	67	46	21	7	2	5	74
"Unteres Kader"	183	119	64	27	13	14	210
"Mittleres Fachkader"	101	45	56	13	5	8	114
"Mittleres Kader"	196	110	86	13	9	4	209
"Oberes Kader"	122	76	46	5	2	3	127

