wohnviertel_id_kdm	Wohnviertel Name	2017	Differenz 2017 zu 1998	1998
1	Altstadt GB	0.847457627118	0.396668746577053	0.450788880540947
2	Vorstädte	1.178203240058	-0.680771118916359	1.85897435897436
3	Am Ring	0.302788844621	-1.74510545760856	2.04789430222956
4	Breite	0.395927601809	-0.403448494896011	0.799376096705011
5	St. Alban	0.796488946684	-0.128429442869863	0.924918389553863
6	Gundeldingen	0.547232439221	-1.46114372677938	2.00837616600038
7	Bruderholz	0.616016427104	0.271821842432132	0.344194584671868
8	Bachletten	0.276586917438	-0.143640005100171	0.420226922538171
9	Gotthelf	0.339805825242	-0.188405459271806	0.528211284513806
10	Iselin	0.38310209153	-1.20935469212636	1.59245678365636
11	St. Johann	0.377395967822	-1.90240718573831	2.27980315356031
12	Altstadt KB	0.712896953985	-1.75945177730973	2.47234873129473
13	Clara	0.852878464818	-1.25142162667331	2.10430009149131
14	Wettstein	0.429711479435	-1.10669466618958	1.53640614562458
15	Hirzbrunnen	0.384204909284	-0.368007480096531	0.752212389380531
16	Rosental	0.465793304221	-3.01701035272284	3.48280365694384
17	Matthäus	0.29428409734	-2.31461143190951	2.60889552924951
18	Klybeck	0.320684126135	-1.67276207812497	1.99344620425997
19	Kleinhüningen	0.661278471711	-0.856293413273025	1.51757188498403
20	Riehen	0.740163615114	-2.73451792576022E-02	0.767508794371602
30	Bettingen	1.204819277108	-0.187292091801513	1.39211136890951
