"Jahr"	"Schweiz"	"Ausland"	"Total"
"2011"	8.50	11.17	9.46
"2012"	8.46	13.79	10.46
"2013"	8.26	14.55	10.64
"2014"	7.08	13.34	9.46
"2015"	6.86	12.98	9.23
"2016"	6.93	13.97	9.64

