"WohnviertelId"	"Wohnviertel_Name"	"2017"	"Differenz 2017 zu 2012"
1	Altstadt Grossbasel	0.0853242321	0.0853242321
2	Vorstädte	0.3260869565	-0.039543756
3	Am Ring	0.9506057782	0.2551445776
4	Breite	2.316442606	0.794975328
5	St. Alban	1.3427690074	0.5613802665
6	Gundeldingen	2.5287124723	0.5123419393
7	Bruderholz	1.4218009479	0.657877833
8	Bachletten	1.3838199513	0.3239602708
9	Gotthelf	1.5752308528	0.567540585
10	Iselin	3.0482256597	1.1706653502
11	St. Johann	3.6377970492	1.3211103483
12	Altstadt Kleinbasel	1.4548238897	0.3636313722
13	Clara	2.288218111	0.6488738487
14	Wettstein	1.2362637363	0.5444615917
15	Hirzbrunnen	2.8780264961	1.020883639
16	Rosental	3.1330749354	0.5689723713
17	Matthäus	2.975584944	1.0157859491
18	Klybeck	4.6865846514	1.441148546
19	Kleinhüningen	5.0314465409	1.7058471596
20	Riehen	1.4434060228	0.4921323731
30	Bettingen	1.3071895425	1.3071895425
