Jahr,Schweiz ohne Migrationshintergrund,Schweiz mit Migrationshintergrund,Ausländer mit Migrationshintergrund (1. Generation),Ausländer mit Migrationshintergrund (2. Generation),Ausländer ohne Migrationshintergrund (3. Generation)
2010,76740,23635,44105,4017,0
2011,77613,25547,46375,4801,0
2012,75776,26407,48055,4164,112
2013,78587,26636,49017,4355,190
2014,76574,28708,50542,4317,223
