Jahr,Anzahl Betreibungen
1974,37565
1975,37374
1976,39407
1977,46234
1978,55009
1979,48153
1980,49029
1981,47501
1982,53103
1983,51244
1984,46578
1985,46503
1986,44962
1987,44469
1988,41581
1989,41941
1990,39663
1991,46323
1992,46411
1993,49661
1994,47872
1995,48867
1996,47770
1997,52919
1998,50350
1999,51363
2000,55646
2001,62791
2002,64524
2003,65117
2004,72178
2005,71831
2006,72563
2007,71874
2008,69327
2009,73327
2010,72940
2011,72353
2012,73479
2013,72673
2014,77379
2015,76524
