Alter	 Weggezogene	 Zugezogene	Saldo
0-4	4178	1921	-2257
5-9	2113	963	-1150
10-14	1240	668	-572
15-19	1628	2664	1036
20-24	7882	13597	5715
25-29	14731	14370	-361
30-34	11907	8653	-3254
35-39	8028	4950	-3078
40-44	5278	3396	-1882
45-49	4056	2813	-1243
50-54	2952	2257	-695
55-59	2031	1490	-541
60-64	1574	1018	-556
65-69	1001	716	-285
70-74	536	375	-161
75-79	322	322	0
>79	553	496	-57
