WV	 Deutschland	 Italien	 Frankreich	 USA	 UK	 Übriges Ausland
Altstadt GB	27	3.4	8.8	18.9	3.4	38.5
Vorstädte	17.7	9.3	9.3	8.4	6.5	48.7
Am Ring	19.5	8.9	5.7	8.8	4.3	52.8
Breite	25	10	6.4	3.2	4.6	50.7
St. Alban	19.6	6.1	7.2	14.9	6.4	45.9
Gundeld.	29.6	6.1	6.5	3	4.6	50.1
Bruderholz	21.7	6.3	9	12.2	3.2	47.5
Bachletten	30.4	6.5	9.2	6.9	5.6	41.5
Gotthelf	33.8	4.1	8.2	0.9	4.6	48.4
Iselin	24.5	9.7	6	4.9	2.7	52.2
St. Johann	23.3	7.4	7.4	5.7	7.2	48.9
Altstadt KB	25.2	7.9	5.5	2.4	2.4	56.7
Clara	29.8	3.5	5.8	1.6	5	54.3
Wettstein	28.8	5	7.8	11.6	9.4	37.3
Hirzbr.	37.9	6.8	5.6	2.8	4	42.9
Rosental	21.6	6.4	3.1	9.2	6.7	53.1
Matthäus	23.7	7.1	3.3	2.9	3.1	59.8
Klybeck	22.8	13	7.5	2	2	52.8
Kleinh.	24	9.1	6.6	0.8	11.6	47.9
Riehen	33.2	3.1	6.2	6.9	5.1	45.5
Bettingen	69.4	0	0	0	0	30.6
Kanton BS	25.1	7.2	6.3	6.2	5	50.2
