Land	2008	2017
Schweiz	59	55.3
Deutschland	84.9	74.6
Italien	76.4	84.2
USA	57.7	54.3
Frankreich	45.2	53.8
UK	56.7	52
Übriges Ausl.	75.5	71.4
Total	67.2	63.4
USA	57.7	54.3
