"Jahr"	"BS"	"BL"	"AG"	"ZH"	"CH"
2007	158884	64024	60976	97841	75470
2008	161204	66763	63543	98305	77563
2009	158555	65283	61410	95025	75401
2010	163146	67248	61398	94519	77019
2011	165868	68133	62059	95308	77731
2012	166502	66594	61266	95706	77573
2013	163676	66932	61687	95944	77986
2014	163098	68215	61531	95717	78151
2015	163722	67456	60940	94477	77525
2016	165097	67010	60780	93809	77230

