"Jahr"	"Handel, Reparatur"	"Verkehr, Lagerei"	"Gastgewerbe"	"Information, Kommunikation"
2005	13263	11949	6197	4044
2006	""	""	""	""
2007	""	""	""	""
2008	13323	11967	6338	4212
2009	""	""	""	""
2010	""	""	""	""
2011	13163	11303	6586	4022
2012	12969	11188	6693	4489
2013	12700	10916	7163	4437
2014	12563	10716	7327	4227
2015	12423	9816	7388	4097
2016	12138	9420	7190	3952

