"Datum"	"Industrie (exkl. Chemie, Pharma)"	"Chemie, Pharma"	"Baugewerbe"
"2009-01"	66	331	40
"2009-02"	66	474	59
"2009-03"	76	323	72
"2009-04"	71	262	61
"2010-01"	59	375	47
"2010-02"	51	285	52
"2010-03"	88	363	78
"2010-04"	79	219	76
"2011-01"	65	314	66
"2011-02"	84	266	88
"2011-03"	121	356	119
"2011-04"	101	283	79
"2012-01"	59	325	63
"2012-02"	54	345	66
"2012-03"	119	381	65
"2012-04"	142	252	64
"2013-01"	62	444	39
"2013-02"	65	496	76
"2013-03"	82	433	57
"2013-04"	130	358	52
"2014-01"	57	421	52
"2014-02"	92	449	70
"2014-03"	76	376	67
"2014-04"	116	338	70
"2015-01"	63	417	39
"2015-02"	64	394	53
"2015-03"	59	464	72
"2015-04"	65	330	42
"2016-01"	52	405	30
"2016-02"	69	370	39
"2016-03"	86	377	37
"2016-04"	59	275	32
"2017-01"	141	452	25
"2017-02"	67	378	19
"2017-03"	69	363	30
"2017-04"	67	271	15

