"Jahr"	"Finanz-, Versicherungs-DL"	"Beratung, Planung, Forschung"	"Gebäudebet., Sicherh., sonst. wirtsch. DL (inkl. Pers.verm., -überl.)"	"Personalvermittlung, -überlassung"
2007	100.0	100.0	100.0	100.0
2008	94.4	93.1	94.5	90.5
2009	89.8	99.7	93.7	87.6
2010	90.7	99.7	100.0	90.1
2011	93.5	99.6	104.8	92.1
2012	96.8	108.4	113.9	101.3
2013	103.0	116.8	119.8	107.1
2014	102.7	120.7	124.0	111.4
2015	104.5	122.5	126.7	114.6
2016	106.2	126.5	129.1	116.8

