Jahr	 1- und 2-Sterne	 3-Sterne	 4- und 5-Sterne	 Nicht klassiert	 Total
2008	7	24	14	18	63
2009	8	26	14	17	65
2010	8	27	15	17	67
2011	8	27	15	16	66
2012	12	26	15	13	66
2013	11	25	16	12	64
2014	11	25	18	10	64
2015	11	25	18	8	62
2016	10	26	18	10	64
2017	10	26	17	12	65
