Monat	 Inland Ø 2008-2017	 Ausland Ø 2008-2017	 Inland 2017	 Ausland 2017
Jan	13673.7	23318	16167	24512
Feb	14244.9	25967.5	14822	27516
Mrz	15168.6	29192.1	22358	33051
Apr	15455.3	28794.6	21784	34685
Mai	17832.2	33793.2	23523	41999
Jun	15701.6	37680.7	19381	45434
Jul	20107.8	36188.5	24512	45639
Aug	16092	37391.7	18501	47140
Sep	17649	36036.7	22519	42495
Okt	20051.5	33755.9	27608	41244
Nov	22176.9	31045.8	27101	37172
Dez	18741.8	29266.8	23945	36749
