Monat 2017	Inland	Ausland
Jan 17	1.55341127	1.960060379
Feb 17	1.601740656	2.011048117
Mrz 17	2.038599159	2.407340171
Apr 17	1.509915534	1.91702465
Mai 17	1.644050504	2.015095598
Jun 17	1.62282648	2.097305982
Jul 17	1.540796345	1.852406933
Aug 17	1.691800443	1.808676283
Sep 17	1.580443181	1.922955642
Okt 17	1.526296726	1.949786636
Nov 17	1.650750895	1.985580544
Dez 17	1.472958864	1.869166508
