Jahr	 1- und 2-Sterne	 3-Sterne	 4- und 5-Sterne	 Nicht klassiert	 Total
2008	435.420765	1861.860656	2423.243169	623.2786885	5343.803279
2009	587.339726	2150.139726	2431.958904	567.4136986	5736.852055
2010	725.8246575	2446.857534	2476.986301	579.7945205	6229.463014
2011	725.9780822	2498.224658	2594.136986	595.5506849	6413.890411
2012	1070.322404	2493.844262	2602.043716	311.3688525	6477.579235
2013	1042.79726	2386.564384	2689.353425	290.9616438	6409.676712
2014	1204.706849	2401.265753	2890.810959	269.0164384	6765.8
2015	1550.112329	2459.917808	3018.191781	257.9671233	7286.189041
2016	1528.237705	2678.076503	2913.202186	423.0956284	7542.612022
2017	1747.126027	3123.682192	3027.632877	793.9753425	8692.416438
