"Migrationsstatus"	"Sekundarstufe I"	"Sekundarstufe II"	"Tertiärstufe"
"Ausländer/-innen"	36694.114282	25245.790682	45402.604846
"Eingebürgerte Schweizer/-innen"	15873.445861	22595.240907	15232.238046
"Schweizer/-innnen seit Geburt"	25244.264834	77296.643307	54669.007708

