Wohnviertel	Nettoproduktion  2007 bis  2016 
Altstadt GB	22
Vorstädte	131
Am Ring	55
Breite	131
St. Alban	116
Gundeldingen	306
Bruderholz	84
Bachletten	57
Gotthelf	-28
Iselin	60
St. Johann	291
Altstadt KB	1
Clara	18
Wettstein	112
Hirzbrunnen	187
Rosental	863
Matthäus	76
Klybeck	4
Kleinhüningen	92
Riehen	228
Bettingen	15
