Jahr,alle FamHH,VerhOK,VerhMindK,EineltMindKind,ElteVolljK,VerhOKProz
2011,40260,16637,12924,3941,6758,41.32389468
2012,39283,15864,12592,3933,6894,40.38388107
2013,40528,16311,13351,3906,6960,40.24624951
